n, bubble, insertion, selection, std::sort, quick, merge, quick hybrid
188,2.31468e-05,4.06467e-06,1.32479e-05,3.61687e-06,9.09183e-06,4.09992e-06,4.48113e-06
190,2.4104e-05,4.20287e-06,1.32633e-05,3.72138e-06,8.95517e-06,4.15342e-06,3.74492e-06
192,2.37463e-05,4.19408e-06,1.36882e-05,3.83292e-06,9.03379e-06,4.27138e-06,3.79775e-06
194,2.44902e-05,4.27162e-06,1.38358e-05,3.87933e-06,9.12588e-06,4.24208e-06,3.87504e-06
196,2.46972e-05,4.43767e-06,1.42334e-05,3.88846e-06,9.31271e-06,4.30342e-06,3.9515e-06
198,2.50085e-05,4.55433e-06,1.43997e-05,4.00079e-06,9.27004e-06,4.45908e-06,4.07842e-06
200,2.54013e-05,4.56983e-06,1.46488e-05,3.88787e-06,9.38767e-06,4.4235e-06,3.98346e-06
202,2.59105e-05,4.68179e-06,1.48618e-05,3.953e-06,9.46692e-06,4.52575e-06,4.07658e-06
204,2.62336e-05,4.72367e-06,1.51612e-05,4.19108e-06,9.50867e-06,4.64162e-06,4.1705e-06
206,2.6617e-05,4.89425e-06,1.55607e-05,4.01913e-06,9.72575e-06,4.58483e-06,4.097e-06
208,2.71647e-05,4.9545e-06,1.55062e-05,4.29163e-06,9.68192e-06,4.76133e-06,4.29312e-06
210,2.7366e-05,4.97962e-06,1.60558e-05,4.13142e-06,9.91708e-06,4.87008e-06,4.19446e-06
212,2.80336e-05,5.04921e-06,1.62848e-05,4.15921e-06,9.98783e-06,4.90525e-06,4.30063e-06
214,2.82276e-05,5.20775e-06,1.64059e-05,4.24621e-06,1.02379e-05,5.0565e-06,4.30579e-06
216,2.87051e-05,5.36079e-06,1.6725e-05,4.2925e-06,1.0216e-05,4.98633e-06,4.34029e-06
218,2.91585e-05,5.38467e-06,1.70267e-05,4.32804e-06,1.04275e-05,5.02188e-06,4.38804e-06
220,2.9881e-05,5.49992e-06,1.73165e-05,4.36225e-06,1.07297e-05,4.90433e-06,4.46904e-06
222,3.03646e-05,5.43113e-06,1.74982e-05,4.37962e-06,1.05704e-05,5.21233e-06,4.48496e-06
224,3.0914e-05,5.67775e-06,1.7667e-05,4.49412e-06,1.07806e-05,5.02367e-06,4.52567e-06
226,3.12242e-05,5.64046e-06,1.81194e-05,4.50875e-06,1.10073e-05,5.07262e-06,4.62729e-06
228,3.18467e-05,5.65588e-06,1.83412e-05,4.58642e-06,1.09361e-05,5.21692e-06,4.61708e-06
230,3.21606e-05,5.78675e-06,1.85986e-05,4.70333e-06,1.09662e-05,5.20975e-06,4.65121e-06
232,3.26562e-05,5.86775e-06,1.89694e-05,4.67442e-06,1.08995e-05,5.20929e-06,4.73175e-06
234,3.30051e-05,5.92312e-06,1.92725e-05,4.85987e-06,1.10952e-05,5.29492e-06,4.76313e-06
236,3.37069e-05,5.97712e-06,1.97016e-05,4.91179e-06,1.13619e-05,5.37567e-06,4.97654e-06
238,3.40025e-05,6.19396e-06,1.986e-05,4.9035e-06,1.16867e-05,5.35388e-06,5.00096e-06
240,3.44481e-05,6.30546e-06,2.02896e-05,4.8995e-06,1.15918e-05,5.59583e-06,4.97354e-06
242,3.48327e-05,6.4475e-06,2.05208e-05,4.97642e-06,1.15395e-05,5.53704e-06,5.28021e-06
244,3.53454e-05,6.43479e-06,2.10166e-05,5.05821e-06,1.1711e-05,5.58387e-06,5.13537e-06
246,3.59607e-05,6.61408e-06,2.10062e-05,5.11896e-06,1.19086e-05,5.6245e-06,5.10904e-06
248,3.62742e-05,6.84317e-06,2.14297e-05,5.01337e-06,1.20767e-05,5.6925e-06,5.20229e-06
250,3.662e-05,6.79512e-06,2.16652e-05,5.3375e-06,1.19872e-05,5.79646e-06,5.26471e-06
252,3.71788e-05,6.95383e-06,2.21302e-05,5.19029e-06,1.22431e-05,5.83071e-06,5.23438e-06
254,3.76018e-05,6.94192e-06,2.22946e-05,5.40521e-06,1.20549e-05,5.89742e-06,5.40025e-06
256,3.81885e-05,7.10729e-06,2.27667e-05,5.30388e-06,1.22621e-05,5.90933e-06,5.49604e-06
258,3.87125e-05,7.3085e-06,2.30608e-05,5.31575e-06,1.24287e-05,5.965e-06,5.35233e-06
260,3.9161e-05,7.22175e-06,2.3353e-05,5.36329e-06,1.26097e-05,6.00608e-06,5.42771e-06
262,3.99082e-05,7.39271e-06,2.37787e-05,5.37708e-06,1.27627e-05,5.99958e-06,5.52563e-06
264,4.01361e-05,7.65304e-06,2.39133e-05,5.47879e-06,1.28006e-05,6.08633e-06,5.65629e-06
266,4.131e-05,8.82346e-06,2.48645e-05,5.45563e-06,1.29768e-05,6.31587e-06,5.68758e-06
268,4.14832e-05,7.70883e-06,2.44746e-05,5.50187e-06,1.28871e-05,6.29092e-06,5.79137e-06
270,4.19573e-05,7.89046e-06,2.49206e-05,5.64992e-06,1.312e-05,6.28317e-06,5.75933e-06
272,4.24185e-05,7.90587e-06,2.5139e-05,5.57892e-06,1.32175e-05,6.49221e-06,5.7945e-06
274,4.41433e-05,8.76637e-06,2.55372e-05,5.59683e-06,1.34725e-05,6.49967e-06,5.92929e-06
276,4.34298e-05,7.94383e-06,2.58144e-05,5.66271e-06,1.35045e-05,6.41921e-06,5.90937e-06
278,4.3865e-05,8.21233e-06,2.60695e-05,5.80413e-06,1.33317e-05,6.52775e-06,5.87733e-06
280,4.47615e-05,8.179e-06,2.66538e-05,5.80771e-06,1.37369e-05,6.51646e-06,6.01321e-06
282,4.55503e-05,8.26033e-06,2.66602e-05,5.85908e-06,1.36766e-05,6.60108e-06,6.15362e-06
284,4.57547e-05,8.40496e-06,2.837e-05,5.97129e-06,1.40787e-05,6.66613e-06,6.02542e-06
286,4.6049e-05,8.58533e-06,2.74633e-05,5.91567e-06,1.37182e-05,6.81133e-06,6.23875e-06
288,4.66072e-05,8.74267e-06,2.78914e-05,6.00346e-06,1.37892e-05,6.86546e-06,6.28208e-06
290,4.72094e-05,8.81883e-06,2.83287e-05,6.02946e-06,1.40602e-05,6.99925e-06,6.18725e-06
292,4.79682e-05,8.74504e-06,2.86909e-05,6.09996e-06,1.42088e-05,7.25883e-06,6.20579e-06
294,4.84323e-05,9.06567e-06,2.89033e-05,6.17658e-06,1.42284e-05,7.12696e-06,6.26229e-06
296,4.91997e-05,9.05462e-06,2.92713e-05,6.16383e-06,1.4729e-05,6.86729e-06,6.33654e-06
298,4.95915e-05,9.06388e-06,3.00316e-05,6.23508e-06,1.441e-05,7.09696e-06,6.366e-06
300,4.97332e-05,9.16921e-06,2.97471e-05,6.288e-06,1.50525e-05,6.98446e-06,6.40879e-06
